,Artist 1970,Artist 1971,Artist 1972,Artist 1973,Artist 1974,Artist 1975,Artist 1976,Artist 1977,Artist 1978,Artist 1979,Artist 1980,Artist 1981,Artist 1982,Artist 1983,Artist 1984,Artist 1985,Artist 1986,Artist 1987,Artist 1988,Artist 1989,Artist 1990,Artist 1991,Artist 1992,Artist 1993,Artist 1994,Artist 1995,Artist 1996,Artist 1997,Artist 1998,Artist 1999,Artist 2000,Artist 2001,Artist 2002,Artist 2003,Artist 2004,Artist 2005,Artist 2006,Artist 2007,Artist 2008,Artist 2009,Artist 2010,Artist 2011,Artist 2012,Artist 2013,Artist 2014,Artist 2015,Artist 2016,Artist 2017,Artist 2018,Artist 2019
46,Carpenters,The Honey Cone,Derek & The Dominos,Eric Weissberg & Steve Mandell,Johnny Bristol,Gladys Knight And The Pips,John Sebastian,Bob Seger & The Silver Bullet Band,George Benson,John Stewart,Pete Townshend,Journey,Alabama,Laura Branigan,Genesis,Diana Ross,Genesis,Kenny G,Taylor Dayne,Donny Osmond,Phil Collins,T.I.,T.I.,T.I.,T.I.,T.I.,T.I.,T.I.,T.I.,T.I.,T.I.,T.I.,T.I.,T.I.,T.I.,T.I.,T.I.,John Mayer,Alicia Keys,"Eminem, Dr. Dre & 50 Cent",Rihanna,Cobra Starship Featuring Sabi,PSY,Imagine Dragons,Paramore,Big Sean Featuring E-40,DJ Snake Featuring Justin Bieber,Demi Lovato,Kendrick Lamar & SZA,Blueface
47,Mark Lindsay,Cat Stevens,Aretha Franklin,Stevie Wonder,Mocedades,Melissa Manchester,"Earth, Wind & Fire",Helen Reddy,Styx,Wings,Steve Forbert,The Police,Royal Philharmonic Orchestra Conducted By Louis Clark,Styx,Lionel Richie,Prince And The Revolution,Sade,Europe,Debbie Gibson,Tears For Fears,After 7,The All-American Rejects,The All-American Rejects,The All-American Rejects,The All-American Rejects,The All-American Rejects,The All-American Rejects,The All-American Rejects,The All-American Rejects,The All-American Rejects,The All-American Rejects,The All-American Rejects,The All-American Rejects,The All-American Rejects,The All-American Rejects,The All-American Rejects,The All-American Rejects,Robin Thicke,Taylor Swift,Beyonce,Kris Allen,Chris Brown,Pitbull Featuring Chris Brown,J. Cole Featuring Miguel,Aloe Blacc,Rihanna,Kent Jones,21 Savage,Migos,Juice WRLD
48,James Taylor,Jerry Reed,Three Dog Night,Al Green,Golden Earring,Sugarloaf/Jerry Corbetta,Tavares,Marshall Tucker Band,Player,Sister Sledge,Anne Murray,Gary U.S. Bonds,"Crosby, Stills & Nash",Laura Branigan,Elton John,Billy Ocean,INXS,The System,Jody Watley,Madonna,M.C. Hammer,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,R. Kelly Or Bow Wow (Featuring T.I. & T-Pain),The Pussycat Dolls,Keri Hilson Featuring Lil Wayne,Rihanna Featuring Jeezy,Nicki Minaj Featuring Drake,Phillip Phillips,Alicia Keys Featuring Nicki Minaj,Florida Georgia Line Featuring Luke Bryan,Rich Homie Quan,Florida Georgia Line,Justin Timberlake,Sam Smith,Sheck Wes
49,Gene Chandler,Olivia Newton-John,Carpenters,Curtis Mayfield,Dave Loggins,Phoebe Snow,The Brothers Johnson,Kansas,Carly Simon,Bad Company,Eagles,Stevie Nicks With Tom Petty And The Heartbreakers,Eddie Money,David Bowie,Huey Lewis & The News,Don Henley,Stevie Nicks,Madonna,U2,White Lion,Phil Collins,Mariah Carey,Mariah Carey,Mariah Carey,Mariah Carey,Mariah Carey,Mariah Carey,Mariah Carey,Mariah Carey,Mariah Carey,Mariah Carey,Mariah Carey,Mariah Carey,Mariah Carey,Mariah Carey,Mariah Carey,Mariah Carey,Nickelback,Snoop Dogg,The Pussycat Dolls,Jay-Z + Mr. Hudson,Dr. Dre Featuring Eminem & Skylar Grey,David Guetta Featuring Usher,Demi Lovato,MKTO,T-Wayne,Charlie Puth Featuring Selena Gomez,J Balvin & Willy William Featuring Beyonce,Kendrick Lamar Featuring Zacari,Ed Sheeran Featuring Khalid
50,Santana,King Floyd,Nilsson,Edward Bear,Wet Willie,Ace,The Beach Boys,Eagles,Dolly Parton,Hot Chocolate,Isaac Hayes,Delbert McClinton,Donna Summer,The Kinks,Pat Benatar,Murray Head,Janet Jackson,Michael Jackson,Belinda Carlisle,Skid Row,Lou Gramm,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Lloyd,Colby O'Donis Featuring Akon,Nickelback,Ke$ha Featuring 3OH!3,Nelly,Gym Class Heroes Featuring Neon Hitch,Maroon 5,Coldplay,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",Ariana Grande,Imagine Dragons,Childish Gambino,Gucci Mane X Bruno Mars X Kodak Black
51,The Guess Who,Bobby Goldsboro,Beverly Bremers,Gilbert O'Sullivan,Bobby Womack,B.T. Express,Captain & Tennille,Engelbert Humperdinck,Linda Ronstadt,Cher,Michael Jackson,Cliff Richard,Karla Bonoff,Naked Eyes,Rod Stewart,Sting,The Outfield,Prince,Terence Trent D'Arby,Duran Duran,Phil Collins,E-40 Featuring T-Pain & Kandi Girl,E-40 Featuring T-Pain & Kandi Girl,E-40 Featuring T-Pain & Kandi Girl,E-40 Featuring T-Pain & Kandi Girl,E-40 Featuring T-Pain & Kandi Girl,E-40 Featuring T-Pain & Kandi Girl,E-40 Featuring T-Pain & Kandi Girl,E-40 Featuring T-Pain & Kandi Girl,E-40 Featuring T-Pain & Kandi Girl,E-40 Featuring T-Pain & Kandi Girl,E-40 Featuring T-Pain & Kandi Girl,E-40 Featuring T-Pain & Kandi Girl,E-40 Featuring T-Pain & Kandi Girl,E-40 Featuring T-Pain & Kandi Girl,E-40 Featuring T-Pain & Kandi Girl,E-40 Featuring T-Pain & Kandi Girl,The Red Jumpsuit Apparatus,3 Doors Down,P!nk,Trey Songz Featuring Nicki Minaj,Kelly Rowland Featuring Lil Wayne,Hunter Hayes,Mumford & Sons,Ed Sheeran,Sia,Kiiara,Migos,Drake,Morgan Wallen
52,Elvis Presley,Matthews' Southern Comfort,Donny Osmond,Steely Dan,The O'Jays,Styx,Bay City Rollers,The Steve Miller Band,Steely Dan,"Earth, Wind & Fire",Irene Cara,Neil Diamond,Quincy Jones Featuring James Ingram,Little River Band,ZZ Top,Animotion,Wham!,Cyndi Lauper,Roger,Thirty Eight Special,Janet Jackson,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,Nickelback,Baby Boy Da Prince Featuring Lil Boosie,Leona Lewis,Lady Gaga,Jay Sean Featuring Sean Paul & Lil Jon,Edward Maya & Vika Jigulina,Luke Bryan,P!nk,Trey Songz,Demi Lovato,Bryson Tiller,Yo Gotti Featuring Nicki Minaj,Kane Brown,Blake Shelton
53,Creedence Clearwater Revival,Judy Collins,Jim Croce,Focus,Gladys Knight And The Pips,Grand Funk,Elton John,Burton Cummings,Anne Murray,Andy Gibb,Linda Ronstadt,John Cougar,Elton John,Air Supply,Rick Springfield,Tina Turner,Scritti Politti,Expose,Pebbles,Karyn White,After 7,Nick Lachey,Nick Lachey,Nick Lachey,Nick Lachey,Nick Lachey,Nick Lachey,Nick Lachey,Nick Lachey,Nick Lachey,Nick Lachey,Nick Lachey,Nick Lachey,Nick Lachey,Nick Lachey,Nick Lachey,Nick Lachey,Bow Wow Featuring Chris Brown & Johnta Austin,Soulja Boy Tell'em,Akon Featuring Colby O'Donis & Kardinal Offishall,OneRepublic,Christina Perri,2 Chainz Featuring Drake,Darius Rucker,Bobby Shmurda,X Ambassadors,Fetty Wap Featuring Remy Boyz,Shawn Mendes,Cardi B,Dean Lewis
54,B.J. Thomas,Bee Gees,Commander Cody & His Lost Planet Airmen,Carpenters,Cat Stevens,Alice Cooper,The Staple Singers,Elvis Presley,Little River Band,Bobby Caldwell,Benny Mardones,Christopher Cross,Go-Go's,Toto,Culture Club,Madonna,James Brown,Dan Hill (Duet With Vonda Shepard),Michael Jackson,Tone-Loc,Aerosmith,Field Mob Featuring Ciara,Field Mob Featuring Ciara,Field Mob Featuring Ciara,Field Mob Featuring Ciara,Field Mob Featuring Ciara,Field Mob Featuring Ciara,Field Mob Featuring Ciara,Field Mob Featuring Ciara,Field Mob Featuring Ciara,Field Mob Featuring Ciara,Field Mob Featuring Ciara,Field Mob Featuring Ciara,Field Mob Featuring Ciara,Field Mob Featuring Ciara,Field Mob Featuring Ciara,Field Mob Featuring Ciara,The All-American Rejects,Linkin Park,Coldplay,Orianthi,Wiz Khalifa,Cher Lloyd,PSY,Drake Featuring Majid Jordan,Usher Featuring Juicy J,Jeremih,Kodak Black,Lil Dicky Featuring Chris Brown,Mustard & Migos
55,Mountain,Denise LaSalle,Apollo 100,Bette Midler,Helen Reddy,Carol Douglas,George Benson,Barry Manilow,Jefferson Starship,Ace Frehley,Pure Prairie League,Queen,Sheena Easton,Christopher Cross,Huey Lewis & The News,Tina Turner,Cameo,Billy Idol,Pebbles,Natalie Cole,Digital Underground,Cherish Featuring Sean Paul Of The YoungBloodZ,Cherish Featuring Sean Paul Of The YoungBloodZ,Cherish Featuring Sean Paul Of The YoungBloodZ,Cherish Featuring Sean Paul Of The YoungBloodZ,Cherish Featuring Sean Paul Of The YoungBloodZ,Cherish Featuring Sean Paul Of The YoungBloodZ,Cherish Featuring Sean Paul Of The YoungBloodZ,Cherish Featuring Sean Paul Of The YoungBloodZ,Cherish Featuring Sean Paul Of The YoungBloodZ,Cherish Featuring Sean Paul Of The YoungBloodZ,Cherish Featuring Sean Paul Of The YoungBloodZ,Cherish Featuring Sean Paul Of The YoungBloodZ,Cherish Featuring Sean Paul Of The YoungBloodZ,Cherish Featuring Sean Paul Of The YoungBloodZ,Cherish Featuring Sean Paul Of The YoungBloodZ,Cherish Featuring Sean Paul Of The YoungBloodZ,Hurricane Chris,"Wyclef Jean Featuring Akon, Lil Wayne & Niia",Akon,Ludacris Featuring Nicki Minaj,LMFAO,Chris Brown,Calvin Harris Featuring Ellie Goulding,Ed Sheeran,Ariana Grande & The Weeknd,Selena Gomez,Post Malone Featuring 21 Savage,6ix9ine,Blanco Brown
56,Ike & Tina Turner & The Ikettes,Jackson 5,Carly Simon,Gilbert O'Sullivan,Elton John,Paul Anka with Odia Coates,Electric Light Orchestra,Ronnie Milsap,Eddie Money,Dire Straits,Genesis,The Alan Parsons Project,America,Bryan Adams,The Cars,Tears For Fears,Van Halen,Bruce Hornsby & The Range,Huey Lewis & The News,The Cure,Taylor Dayne,KT Tunstall,KT Tunstall,KT Tunstall,KT Tunstall,KT Tunstall,KT Tunstall,KT Tunstall,KT Tunstall,KT Tunstall,KT Tunstall,KT Tunstall,KT Tunstall,KT Tunstall,KT Tunstall,KT Tunstall,KT Tunstall,Ne-Yo,Ne-Yo,Jordin Sparks,Taylor Swift,Far*East Movement Featuring Ryan Tedder,Big Sean Featuring Nicki Minaj,Ke$ha,Imagine Dragons,Taylor Swift,Kevin Gates,Brett Young,Rich The Kid,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B"
57,Christie,The Partridge Family,Three Dog Night,Steely Dan,Ringo Starr,Bad Company,Silver,Foreigner,Shaun Cassidy,Chic,The Dirt Band,Steve Winwood,A Flock Of Seagulls,Kenny Loggins,Madonna,Harold Faltermeyer,Tina Turner,Swing Out Sister,INXS,Karyn White,Tom Petty,Juelz Santana,Juelz Santana,Juelz Santana,Juelz Santana,Juelz Santana,Juelz Santana,Juelz Santana,Juelz Santana,Juelz Santana,Juelz Santana,Juelz Santana,Juelz Santana,Juelz Santana,Juelz Santana,Juelz Santana,Juelz Santana,Bone Thugs-N-Harmony Featuring Akon,Secondhand Serenade,Flo Rida Featuring Wynter,The Black Eyed Peas,Kanye West,Eric Church,fun.,YG Featuring Jeezy & Rich Homie Quan,Sam Smith,The Weeknd Featuring Daft Punk,twenty one pilots,Maroon 5,Ellie Goulding X Diplo Featuring Swae Lee
58,100 Proof Aged in Soul,Gladys Knight And The Pips,Alice Cooper,Paul Simon,The O'Jays,James Taylor,Keith Carradine,Dean Friedman,John Travolta & Olivia Newton-John,McFadden & Whitehead,Carole King,Stevie Wonder,Jackson Browne,Lionel Richie,Bruce Springsteen,Sade,Baltimora,Ben E. King,Pretty Poison,The Jeff Healey Band,Pebbles,Young Dro Featuring T.I.,Young Dro Featuring T.I.,Young Dro Featuring T.I.,Young Dro Featuring T.I.,Young Dro Featuring T.I.,Young Dro Featuring T.I.,Young Dro Featuring T.I.,Young Dro Featuring T.I.,Young Dro Featuring T.I.,Young Dro Featuring T.I.,Young Dro Featuring T.I.,Young Dro Featuring T.I.,Young Dro Featuring T.I.,Young Dro Featuring T.I.,Young Dro Featuring T.I.,Young Dro Featuring T.I.,My Chemical Romance,Flo Rida Featuring will.i.am,Ne-Yo,Ke$ha,Britney Spears,Karmin,Wale Featuring Tiara Thomas Or Rihanna,Echosmith,DJ Snake & AlunaGeorge,DJ Khaled Featuring Drake,Halsey,Cardi B,Calboy
59,Robin McNamara,Paul Stookey,Chicago,Timmy Thomas,Eric Clapton,Orleans,Harold Melvin And The Blue Notes,Bread,Lynyrd Skynyrd,Little River Band,Donna Summer,Neil Diamond,Commodores,Elton John,Quiet Riot,Mary Jane Girls,Madonna,Genesis,New Edition,Guns N' Roses,Depeche Mode,Jamie Foxx Featuring Ludacris,Jamie Foxx Featuring Ludacris,Jamie Foxx Featuring Ludacris,Jamie Foxx Featuring Ludacris,Jamie Foxx Featuring Ludacris,Jamie Foxx Featuring Ludacris,Jamie Foxx Featuring Ludacris,Jamie Foxx Featuring Ludacris,Jamie Foxx Featuring Ludacris,Jamie Foxx Featuring Ludacris,Jamie Foxx Featuring Ludacris,Jamie Foxx Featuring Ludacris,Jamie Foxx Featuring Ludacris,Jamie Foxx Featuring Ludacris,Jamie Foxx Featuring Ludacris,Jamie Foxx Featuring Ludacris,Plies Featuring T-Pain,John Mayer,Owl City,Drake,Usher,Gavin DeGraw,Blake Shelton Featuring Pistol Annies & Friends,Avicii,Fall Out Boy,Flume Featuring Kai,Amine,Selena Gomez X Marshmello,Lauren Daigle
60,The Supremes,Richie Havens,Joe Simon,Tower Of Power,Paul McCartney And Wings,Average White Band,War,Meco,Crystal Gayle,Styx,Billy Joel,The Police,Paul McCartney,Loverboy,Irene Cara,Phil Collins,Timex Social Club,Glass Tiger,The Jets,Eddie Money,Tesla,Justin Timberlake Featuring T.I.,Justin Timberlake Featuring T.I.,Justin Timberlake Featuring T.I.,Justin Timberlake Featuring T.I.,Justin Timberlake Featuring T.I.,Justin Timberlake Featuring T.I.,Justin Timberlake Featuring T.I.,Justin Timberlake Featuring T.I.,Justin Timberlake Featuring T.I.,Justin Timberlake Featuring T.I.,Justin Timberlake Featuring T.I.,Justin Timberlake Featuring T.I.,Justin Timberlake Featuring T.I.,Justin Timberlake Featuring T.I.,Justin Timberlake Featuring T.I.,Justin Timberlake Featuring T.I.,Snow Patrol,Jordin Sparks,Linkin Park,Neon Trees,Avril Lavigne,Gym Class Heroes Featuring Adam Levine,Phillip Phillips,Jason Derulo,Beyonce,The Weeknd,Ayo & Teo,Cardi B Featuring 21 Savage,Panic! At The Disco
61,Creedence Clearwater Revival,Wadsworth Mansion,Bill Withers,The Temptations,Elton John,Gloria Gaynor,John Travolta,The Floaters,Robert Palmer,England Dan & John Ford Coley,Neil Sedaka & Dara Sedaka,Steely Dan,Deniece Williams,Men At Work,Tracey Ullman,Cyndi Lauper,The Dream Academy,ABC,Peter Cetera,New Kids On The Block,Bad English,Eminem Featuring Nate Dogg,Eminem Featuring Nate Dogg,Eminem Featuring Nate Dogg,Eminem Featuring Nate Dogg,Eminem Featuring Nate Dogg,Eminem Featuring Nate Dogg,Eminem Featuring Nate Dogg,Eminem Featuring Nate Dogg,Eminem Featuring Nate Dogg,Eminem Featuring Nate Dogg,Eminem Featuring Nate Dogg,Eminem Featuring Nate Dogg,Eminem Featuring Nate Dogg,Eminem Featuring Nate Dogg,Eminem Featuring Nate Dogg,Eminem Featuring Nate Dogg,Beyonce & Shakira,Rihanna Featuring Ne-Yo,Jay-Z + Alicia Keys,Maroon 5,Tinie Tempah Featuring Eric Turner,Pitbull,Imagine Dragons,Maroon 5,Selena Gomez,Meghan Trainor,Kendrick Lamar,Ariana Grande,Post Malone
62,The Temptations,Brenda & The Tabulations,Sly & The Family Stone,Helen Reddy,Mike Oldfield,Paul Anka,Sweet,David Dundas,Barry Manilow,Cheryl Lynn,Charlie Dore,Stevie Wonder,Kenny Rogers,Culture Club,Billy Joel,Bryan Adams,Miami Sound Machine,Levert,Cheap Trick,Guns N' Roses,Tyler Collins,Chingy Featuring Tyrese,Chingy Featuring Tyrese,Chingy Featuring Tyrese,Chingy Featuring Tyrese,Chingy Featuring Tyrese,Chingy Featuring Tyrese,Chingy Featuring Tyrese,Chingy Featuring Tyrese,Chingy Featuring Tyrese,Chingy Featuring Tyrese,Chingy Featuring Tyrese,Chingy Featuring Tyrese,Chingy Featuring Tyrese,Chingy Featuring Tyrese,Chingy Featuring Tyrese,Chingy Featuring Tyrese,Justin Timberlake,Lupe Fiasco Featuring Matthew Santos,Daughtry,B.o.B Featuring Rivers Cuomo,Trey Songz Featuring Nicki Minaj,J. Cole,OneRepublic,Jason Aldean,Little Big Town,Elle King,Zay Hilfigerrr & Zayion McCall,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Luke Combs
63,Tom Jones,The Doors,Joe Simon,Spinners,Anne Murray,Donny & Marie Osmond,Fleetwood Mac,Boz Scaggs,Rick James,Patrick Hernandez,Linda Ronstadt,George Harrison,Journey,Debarge,Bananarama,Bruce Springsteen,ZZ Top,Gloria Estefan & Miami Sound Machine,Elton John,Surface,Chicago,Kelis Featuring Too $hort,Kelis Featuring Too $hort,Kelis Featuring Too $hort,Kelis Featuring Too $hort,Kelis Featuring Too $hort,Kelis Featuring Too $hort,Kelis Featuring Too $hort,Kelis Featuring Too $hort,Kelis Featuring Too $hort,Kelis Featuring Too $hort,Kelis Featuring Too $hort,Kelis Featuring Too $hort,Kelis Featuring Too $hort,Kelis Featuring Too $hort,Kelis Featuring Too $hort,Kelis Featuring Too $hort,Avril Lavigne,J. Holiday,Shakira,Lady Gaga,Usher Featuring Pitbull,Adele,Flo Rida,Luke Bryan,Trey Songz,Thomas Rhett,Rae Sremmurd,Demi Lovato,"Young Thug, J. Cole & Travis Scott"
64,"Crosby, Stills, Nash & Young",Perry Como,Jerry Butler & Brenda Lee Eager,Donna Fargo,Todd Rundgren,Joe Simon,The Beatles,Bay City Rollers,"Earth, Wind & Fire",Electric Light Orchestra,Michael Jackson,Eddie Rabbitt,Barbra Streisand,Sammy Hagar,Wang Chung,Kool & The Gang,The Cars,The Whispers,Foreigner,R.E.M.,Skid Row,Jibbs,Jibbs,Jibbs,Jibbs,Jibbs,Jibbs,Jibbs,Jibbs,Jibbs,Jibbs,Jibbs,Jibbs,Jibbs,Jibbs,Jibbs,Jibbs,Keyshia Cole Featuring Missy Elliott & Lil Kim,Kevin Rudolf Featuring Lil Wayne,Mario Featuring Gucci Mane & Sean Garrett,New Boyz Featuring Ray J,The Script,Calvin Harris Featuring Ne-Yo,Of Monsters And Men,Tinashe Featuring ScHoolboy Q,One Direction,Post Malone,Drake,Charlie Puth,Daddy Yankee & Katy Perry Featuring Snow
65,Dionne Warwick,Song,Harry Chapin,Ohio Players,Tom T. Hall,Queen,Bee Gees,Electric Light Orchestra,Bob Welch,Anne Murray,Peaches & Herb,Billy Squier,Laura Branigan,Dionne Warwick,The Pointer Sisters,Eurythmics,Sheila E.,Bon Jovi,Keith Sweat,Lita Ford (Duet With Ozzy Osbourne),Technotronic,Akon Featuring Eminem,Akon Featuring Eminem,Akon Featuring Eminem,Akon Featuring Eminem,Akon Featuring Eminem,Akon Featuring Eminem,Akon Featuring Eminem,Akon Featuring Eminem,Akon Featuring Eminem,Akon Featuring Eminem,Akon Featuring Eminem,Akon Featuring Eminem,Akon Featuring Eminem,Akon Featuring Eminem,Akon Featuring Eminem,Akon Featuring Eminem,Timbaland Featuring OneRepublic,David Banner Featuring Chris Brown,Beyonce,Nicki Minaj,Blake Shelton,Carrie Underwood,Jason Derulo,Florida Georgia Line,Nicki Minaj Featuring Drake & Lil Wayne,Nick Jonas Featuring Tove Lo,Kendrick Lamar Featuring Rihanna,MAX Featuring gnash,YNW Melly
66,B.B. King,Song,Bobby Vinton,The Rolling Stones,The Guess Who,Eddie Kendricks,"Earth, Wind & Fire",Supertramp,Le Blanc & Carr,Ian Matthews,Eagles,Alabama,Elton John,Journey,Ray Parker Jr.,ABC,Genesis,Peter Gabriel,Natalie Cole,Tiffany,Gloria Estefan,Ray J,Ray J,Ray J,Ray J,Ray J,Ray J,Ray J,Ray J,Ray J,Ray J,Ray J,Ray J,Ray J,Ray J,Ray J,Ray J,Colbie Caillat,Colbie Caillat,Young Money,Miley Cyrus,Jason Aldean With Kelly Clarkson,Little Big Town,Eminem,OneRepublic,Ariana Grande,X Ambassadors,Kesha,Khalid,Billie Eilish
67,Glen Campbell,Song,Todd Rundgren,Lobo,Jim Croce,Electric Light Orchestra,Orleans,Bee Gees,Santa Esmeralda,KISS,Mickey Gilley,Dan Fogelberg,Neil Diamond,Joe Jackson,Madonna,Paul McCartney,Regina,Steve Winwood,Tracy Chapman,Bobby Brown,Faith No More,Fall Out Boy,Fall Out Boy,Fall Out Boy,Fall Out Boy,Fall Out Boy,Fall Out Boy,Fall Out Boy,Fall Out Boy,Fall Out Boy,Fall Out Boy,Fall Out Boy,Fall Out Boy,Fall Out Boy,Fall Out Boy,Fall Out Boy,Fall Out Boy,Ciara,Young Jeezy Featuring Kanye West,Colbie Caillat,Chris Brown Featuring Tyga & Kevin McCall,Rihanna Featuring Calvin Harris,The Lumineers,Kelly Clarkson,Brantley Gilbert,Nick Jonas,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",Travis Scott,Calvin Harris & Dua Lipa,City Girls
68,Aretha Franklin,Song,Sailcat,The Stylistics,Sister Janet Mead,Al Green,Queen,Alice Cooper,Michael Johnson,Gino Vannelli,Pat Benatar,Pablo Cruise,Joan Jett & the Blackhearts,Quarterflash,John Lennon,Survivor,Arcadia,Expose,Icehouse,Aerosmith,Mariah Carey,Chris Brown Featuring Lil Wayne,Chris Brown Featuring Lil Wayne,Chris Brown Featuring Lil Wayne,Chris Brown Featuring Lil Wayne,Chris Brown Featuring Lil Wayne,Chris Brown Featuring Lil Wayne,Chris Brown Featuring Lil Wayne,Chris Brown Featuring Lil Wayne,Chris Brown Featuring Lil Wayne,Chris Brown Featuring Lil Wayne,Chris Brown Featuring Lil Wayne,Chris Brown Featuring Lil Wayne,Chris Brown Featuring Lil Wayne,Chris Brown Featuring Lil Wayne,Chris Brown Featuring Lil Wayne,Chris Brown Featuring Lil Wayne,P!nk,David Cook,The Veronicas,Britney Spears,Keri Hilson,Coldplay,Luke Bryan,Becky G,Meek Mill Featuring Chris Brown & Nicki Minaj,Yo Gotti Featuring Nicki Minaj,Maroon 5 Featuring Future,Imagine Dragons,"Cardi B, Bad Bunny & J Balvin"
69,Song,Song,Godspell,Jud Strunk,Lamont Dozier,America,Jefferson Starship,Carly Simon,Jackson Browne,Linda Ronstadt,Eddie Rabbitt,Electric Light Orchestra,The Police,Stray Cats,Culture Club,Wham!,Elton John,Survivor,Bruce Hornsby & The Range,Bon Jovi,Cher,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,Kelly Clarkson,"Three 6 Mafia Featuring Project Pat, Young D & Superpower",Nickelback,Shontelle,Lady Gaga,Carrie Underwood,Rihanna,Rixton,Rae Sremmurd,Tory Lanez,D.R.A.M. Featuring Lil Yachty,Jason Aldean,SHAED
