,Artist 1970,Artist 1971,Artist 1972,Artist 1973,Artist 1974,Artist 1975,Artist 1976,Artist 1977,Artist 1978,Artist 1979,Artist 1980,Artist 1981,Artist 1982,Artist 1983,Artist 1984,Artist 1985,Artist 1986,Artist 1987,Artist 1988,Artist 1989,Artist 1990,Artist 1991,Artist 1992,Artist 1993,Artist 1994,Artist 1995,Artist 1996,Artist 1997,Artist 1998,Artist 1999,Artist 2000,Artist 2001,Artist 2002,Artist 2003,Artist 2004,Artist 2005,Artist 2006,Artist 2007,Artist 2008,Artist 2009,Artist 2010,Artist 2011,Artist 2012,Artist 2013,Artist 2014,Artist 2015,Artist 2016,Artist 2017,Artist 2018,Artist 2019
70,Song,Song,Yes,Deodato,Charlie Rich,Mike Post,Foghat,The Sylvers,Foxy,"Earth, Wind & Fire",Supertramp,John Schneider,Air Supply,Champaign,Christopher Cross,Julian Lennon,Phil Collins,Herb Alpert,Bobby Brown,When In Rome,Milli Vanilli,Bon Jovi,Bon Jovi,Bon Jovi,Bon Jovi,Bon Jovi,Bon Jovi,Bon Jovi,Bon Jovi,Bon Jovi,Bon Jovi,Bon Jovi,Bon Jovi,Bon Jovi,Bon Jovi,Bon Jovi,Bon Jovi,Ciara,Baby Bash Featuring T-Pain,Fabolous Featuring The-Dream,"Drake Featuring Kanye West, Lil Wayne & Eminem",Far*East Movement Featuring Cataracs & Dev,Adele,Taylor Swift,Martin Garrix,Vance Joy,Beyonce,Calvin Harris Featuring Frank Ocean & Migos,Ed Sheeran,Flipp Dinero
71,Song,Song,Jackson Browne,Johnny Nash,Jim Stafford,Tavares,Ohio Players,Kenny Nolan,Joe Walsh,Al Stewart,Fleetwood Mac,Pat Benatar,Michael McDonald,Shalamar,Debarge,Julian Lennon,Run-D.M.C.,Expose,Brenda Russell Featuring Joe Esposito,Edie Brickell & New Bohemians,Dino,JoJo,JoJo,JoJo,JoJo,JoJo,JoJo,JoJo,JoJo,JoJo,JoJo,JoJo,JoJo,JoJo,JoJo,JoJo,JoJo,J. Holiday,Natasha Bedingfield Featuring Sean Kingston,Boys Like Girls,Boys Like Girls Featuring Taylor Swift,David Guetta Featuring Usher,Usher,Hunter Hayes,Rich Gang Featuring Young Thug & Rich Homie Quan,Jidenna Featuring Roman GianArthur,The Weeknd,Kane Brown Featuring Lauren Alaina,Gucci Mane Featuring Migos,Ariana Grande
72,Song,Song,Detroit Emeralds,Pink Floyd,Paul McCartney And Wings,Ringo Starr,Thin Lizzy,Joe Tex,High Inergy,Herb Alpert,Boz Scaggs,Santana,Kool & The Gang,Jackson Browne,The Police,The Power Station,Anita Baker,Fleetwood Mac,Van Halen,Boys Club,Black Box,Busta Rhymes,Busta Rhymes,Busta Rhymes,Busta Rhymes,Busta Rhymes,Busta Rhymes,Busta Rhymes,Busta Rhymes,Busta Rhymes,Busta Rhymes,Busta Rhymes,Busta Rhymes,Busta Rhymes,Busta Rhymes,Busta Rhymes,Busta Rhymes,Rich Boy Featuring Polow Da Don,Jonas Brothers,Asher Roth,3OH!3 Featuring Ke$ha,Taylor Swift,Wiz Khalifa,Ylvis,Kenny Chesney,Elle King,Coldplay,Katy Perry Featuring Skip Marley,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",Billie Eilish
73,Song,Song,Rick Springfield,War,Diana Ross And Marvin Gaye,Jethro Tull,David Ruffin,Rose Royce,Linda Ronstadt,Electric Light Orchestra,Neil Diamond,Barbra Streisand & Barry Gibb,Ronnie Milsap,Moving Pictures,Ratt,Ashford & Simpson,The Moody Blues,Lou Gramm,Paul Carrack,Guns N' Roses,Billy Joel,Daddy Yankee,Daddy Yankee,Daddy Yankee,Daddy Yankee,Daddy Yankee,Daddy Yankee,Daddy Yankee,Daddy Yankee,Daddy Yankee,Daddy Yankee,Daddy Yankee,Daddy Yankee,Daddy Yankee,Daddy Yankee,Daddy Yankee,Daddy Yankee,Amy Winehouse,Kanye West,Britney Spears,Kelly Clarkson,Katy Perry,Ne-Yo,One Direction,Sara Bareilles,Meghan Trainor,Tory Lanez,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",A$AP Ferg Featuring Nicki Minaj,Lil Baby
74,Song,Song,Song,War,Jim Stafford,Leo Sayer,Peter Frampton,Queen,Odyssey,Eric Clapton,George Benson,John Lennon,Olivia Newton-John,Michael Jackson,Go-Go's,Madonna,Paul McCartney,Crowded House,Sting,Samantha Fox,Babyface,Beyonce Featuring Jay Z,Beyonce Featuring Jay Z,Beyonce Featuring Jay Z,Beyonce Featuring Jay Z,Beyonce Featuring Jay Z,Beyonce Featuring Jay Z,Beyonce Featuring Jay Z,Beyonce Featuring Jay Z,Beyonce Featuring Jay Z,Beyonce Featuring Jay Z,Beyonce Featuring Jay Z,Beyonce Featuring Jay Z,Beyonce Featuring Jay Z,Beyonce Featuring Jay Z,Beyonce Featuring Jay Z,Beyonce Featuring Jay Z,T.I.,The-Dream,Jason Aldean,The Black Eyed Peas,Eli Young Band,Nicki Minaj,Ed Sheeran,The Neighbourhood,Charlie Puth Featuring Meghan Trainor,Travis Scott,Jon Bellion,Miguel Featuring Travis Scott,Pinkfong
75,Song,Song,Song,The Pointer Sisters,First Class,Ray Stevens,Candi Staton,Captain & Tennille,Parliament,Roger Voudoris,Anne Murray,Heart,Kool & The Gang,Def Leppard,Billy Joel,Bruce Springsteen,Starpoint,Bryan Adams,Joan Jett & the Blackhearts,Rick Astley,Paul Young,Rascal Flatts,Rascal Flatts,Rascal Flatts,Rascal Flatts,Rascal Flatts,Rascal Flatts,Rascal Flatts,Rascal Flatts,Rascal Flatts,Rascal Flatts,Rascal Flatts,Rascal Flatts,Rascal Flatts,Rascal Flatts,Rascal Flatts,Rascal Flatts,Alicia Keys,David Archuleta,Taylor Swift,OneRepublic,Rihanna,Kenny Chesney,fun.,Sam Hunt,Meghan Trainor Featuring John Legend,Ruth B,Luke Combs,Thomas Rhett,Saweetie
76,Song,Song,Song,Edgar Winter Group,War,Elton John,Neil Sedaka,Aerosmith,Boston,Ambrosia,Kenny Rogers,Ronnie Milsap,Diana Ross,Musical Youth,Kool & The Gang,Debarge,Daryl Hall,Glenn Medeiros,Foreigner,Vanessa Williams,Paula Abdul,Evanescence,Evanescence,Evanescence,Evanescence,Evanescence,Evanescence,Evanescence,Evanescence,Evanescence,Evanescence,Evanescence,Evanescence,Evanescence,Evanescence,Evanescence,Evanescence,Boys Like Girls,Plies Featuring Akon,Rihanna,Selena Gomez & The Scene,Selena Gomez & The Scene,Trey Songz,Tim McGraw With Taylor Swift,Chris Brown Featuring Usher & Rick Ross,Tove Lo,Ariana Grande Featuring Nicki Minaj,Sam Smith,"benny blanco, Halsey & Khalid",YK Osiris
77,Song,Song,Song,David Bowie,The Stylistics,Neil Sedaka,Bay City Rollers,Al Stewart,Electric Light Orchestra,Eddie Rabbitt,Fleetwood Mac,Barry Manilow,Go-Go's,Spandau Ballet,Christine McVie,Heart,Force M.D.'s,Bruce Springsteen,Al B. Sure!,Babyface,The Cover Girls,Carrie Underwood,Carrie Underwood,Carrie Underwood,Carrie Underwood,Carrie Underwood,Carrie Underwood,Carrie Underwood,Carrie Underwood,Carrie Underwood,Carrie Underwood,Carrie Underwood,Carrie Underwood,Carrie Underwood,Carrie Underwood,Carrie Underwood,Carrie Underwood,Unk,Fergie,Green Day,Alicia Keys,Jake Owen,Kirko Bangz,Luke Bryan,Michael Jackson & Justin Timberlake,James Newton Howard Featuring Jennifer Lawrence,Daya,Khalid,The Weeknd,Jonas Brothers
78,Song,Song,Song,Albert Hammond,Olivia Newton-John,Carpenters,Parliament,Heatwave,Eruption,Rex Smith,Prince,Olivia Newton-John And Cliff Richard,Van Halen,Frank Stallone,Shalamar,David Lee Roth,Thompson Twins,Smokey Robinson,Steve Winwood,Alice Cooper,Michael Bolton,Danity Kane,Danity Kane,Danity Kane,Danity Kane,Danity Kane,Danity Kane,Danity Kane,Danity Kane,Danity Kane,Danity Kane,Danity Kane,Danity Kane,Danity Kane,Danity Kane,Danity Kane,Danity Kane,Paula DeAnda Featuring The DEY,Kanye West Featuring T-Pain,Soulja Boy Tell'em,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",Zac Brown Band Featuring Jimmy Buffett,Rihanna Featuring Chris Brown,Kendrick Lamar,Dierks Bentley,O.T. Genasis,Taylor Swift,Playboi Carti,"Jay Rock, Kendrick Lamar, Future & James Blake",Luke Bryan
79,Song,Song,Song,Donny Osmond,Chicago,Ringo Starr,Larry Groce,Fleetwood Mac,Bob Welch,Alice Cooper,The Charlie Daniels Band,Sheena Easton,The Pointer Sisters,Stephen Bishop,The Rolling Stones,Kool & The Gang,Lionel Richie,Heart,Whitney Houston,Donna Summer,Keith Sweat,Ciara Featuring Chamillionaire,Ciara Featuring Chamillionaire,Ciara Featuring Chamillionaire,Ciara Featuring Chamillionaire,Ciara Featuring Chamillionaire,Ciara Featuring Chamillionaire,Ciara Featuring Chamillionaire,Ciara Featuring Chamillionaire,Ciara Featuring Chamillionaire,Ciara Featuring Chamillionaire,Ciara Featuring Chamillionaire,Ciara Featuring Chamillionaire,Ciara Featuring Chamillionaire,Ciara Featuring Chamillionaire,Ciara Featuring Chamillionaire,Ciara Featuring Chamillionaire,Young Jeezy Featuring R. Kelly,Britney Spears,The-Dream,"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",Luke Bryan,B.o.B,Blake Shelton,Katy Perry,"Jessie J, Ariana Grande & Nicki Minaj",DJ Snake Featuring Bipolar Sunshine,SZA Featuring Travis Scott,Marshmello & Bastille,Ella Mai
80,Song,Song,Song,Song,Fancy,Amazing Rhythm Aces,Barry Manilow,Elton John,ABBA,Foreigner,Boz Scaggs,The Beach Boys,Billy Idol,Peabo Bryson & Roberta Flack,John Cafferty & The Beaver Brown Band,Jermaine Jackson,George Michael,Bruce Willis,Gloria Estefan & Miami Sound Machine,Michael Jackson,New Kids On The Block,Sean Paul,Sean Paul,Sean Paul,Sean Paul,Sean Paul,Sean Paul,Sean Paul,Sean Paul,Sean Paul,Sean Paul,Sean Paul,Sean Paul,Sean Paul,Sean Paul,Sean Paul,Sean Paul,Hellogoodbye,Taylor Swift,Zac Brown Band,Sugarland,Brad Paisley Duet With Carrie Underwood,Train,Mariah Carey Featuring Miguel,Lady Antebellum,Sam Smith,Ellie Goulding,A Boogie Wit da Hoodie Featuring Kodak Black,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Lee Brice
81,Song,Song,Song,Song,Song,Bachman-Turner Overdrive,KISS,B.J. Thomas,Rita Coolidge,Barry Manilow,Barry Manilow,Devo,Kim Wilde,Joe Jackson,Duran Duran,The Time,Toto,Kool & The Gang,George Michael,Bobby Brown,Aerosmith,Blue October,Blue October,Blue October,Blue October,Blue October,Blue October,Blue October,Blue October,Blue October,Blue October,Blue October,Blue October,Blue October,Blue October,Blue October,Blue October,Pretty Ricky,Mary J. Blige,Beyonce,Usher Featuring Plies,Dev,Toby Keith,Olly Murs Featuring Flo Rida,Naughty Boy Featuring Sam Smith,I LOVE MAKONNEN Featuring Drake,Drake Featuring The Throne,Hailee Steinfeld & Grey Featuring Zedd,Florida Georgia Line,A Boogie Wit da Hoodie Featuring 6ix9ine
82,Song,Song,Song,Song,Song,Frankie Valli,Rick Dees,ABBA,Bob Seger & The Silver Bullet Band,Bob Seger,Joe Walsh,Sheena Easton,Little River Band,"Earth, Wind & Fire",Peter Schilling,Bruce Springsteen,Stevie Wonder,Huey Lewis & The News,Brenda K. Starr,Expose,KISS,Lifehouse,Lifehouse,Lifehouse,Lifehouse,Lifehouse,Lifehouse,Lifehouse,Lifehouse,Lifehouse,Lifehouse,Lifehouse,Lifehouse,Lifehouse,Lifehouse,Lifehouse,Lifehouse,Gwen Stefani,Britney Spears,Iyaz,Usher,New Boyz Featuring The Cataracs & Dev,Selena Gomez & The Scene,Ciara,Robin Thicke Featuring T.I. + Pharrell,iLoveMemphis,Adele,Gucci Mane Featuring Drake,N*E*R*D & Rihanna,Sam Smith
83,Song,Song,Song,Song,Song,Song,The Steve Miller Band,Leo Sayer,Steely Dan,Van Halen,Song,Gary Wright,Michael Murphey,Song,The Cars,Tina Turner,Song,The Breakfast Club,Cher,Don Henley,The Time,The Pussycat Dolls Featuring will.i.am,The Pussycat Dolls Featuring will.i.am,The Pussycat Dolls Featuring will.i.am,The Pussycat Dolls Featuring will.i.am,The Pussycat Dolls Featuring will.i.am,The Pussycat Dolls Featuring will.i.am,The Pussycat Dolls Featuring will.i.am,The Pussycat Dolls Featuring will.i.am,The Pussycat Dolls Featuring will.i.am,The Pussycat Dolls Featuring will.i.am,The Pussycat Dolls Featuring will.i.am,The Pussycat Dolls Featuring will.i.am,The Pussycat Dolls Featuring will.i.am,The Pussycat Dolls Featuring will.i.am,The Pussycat Dolls Featuring will.i.am,The Pussycat Dolls Featuring will.i.am,Baby Bash Featuring T-Pain,Rick Ross Featuring T-Pain,Brad Paisley,Taylor Swift,Drake,Chris Brown,Miguel,Lady Gaga Featuring R. Kelly,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",Daya,P!nk,Logic Featuring Alessia Cara & Khalid,Lil Baby & DaBaby
84,Song,Song,Song,Song,Song,Song,The Who,London Symphony Orchestra,Song,Nigel Olsson,Song,Rosanne Cash,The Rolling Stones,Song,Night Ranger,Aretha Franklin,Song,Lionel Richie,INXS,Soul II Soul (Featuring Caron Wheeler),Biz Markie,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow","Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow","Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow","Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow","Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow","Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow","Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow","Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow","Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow","Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow","Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow","Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow","Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow","Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow","Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow","Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",Rihanna & Sean Paul,Kid Rock,Rob Thomas,Timbaland Featuring Drake,Beyonce,Ke$ha,The Script Featuring will.i.am,Shakira Featuring Rihanna,Sam Hunt,Major Lazer & DJ Snake Featuring MO,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,Justin Timberlake Featuring Chris Stapleton,Thomas Rhett
85,Song,Song,Song,Song,Song,Song,Glen Campbell,C.J. & Company,Song,Diana Ross,Song,Diana Ross,Stevie Wonder,Song,Billy Squier,Sting,Song,Kenny Loggins,Steve Winwood,Song,Motley Crue,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Chris Brown,Lifehouse,Trey Songz,Jesse McCartney Featuring Ludacris,Beyonce,Jason Derulo,T-Pain Featuring Wiz Khalifa & Lily Allen,Ne-Yo,5 Seconds Of Summer,Chris Brown & Tyga,Shawn Mendes & Camila Cabello,Migos Featuring Gucci Mane,Drake,Kane Brown
86,Song,Song,Song,Song,Song,Song,Song,Song,Song,Commodores,Song,Boz Scaggs,Loverboy,Song,James Ingram With Michael McDonald,Lionel Richie,Song,Cutting Crew,David Lee Roth,Song,Jive Bunny & The Mastermixers,John Mayer,John Mayer,John Mayer,John Mayer,John Mayer,John Mayer,John Mayer,John Mayer,John Mayer,John Mayer,John Mayer,John Mayer,John Mayer,John Mayer,John Mayer,John Mayer,50 Cent Featuring Justin Timberlake & Timbaland,Gavin DeGraw,Britney Spears,Kings Of Leon,David Guetta Featuring Flo Rida & Nicki Minaj,Christina Perri,Rocko Featuring Future & Rick Ross,T.I. Featuring Iggy Azalea,Luke Bryan,Silento,Harry Styles,Kenny Chesney,Offset Featuring Cardi B
87,Song,Song,Song,Song,Song,Song,Song,Song,Song,Firefall,Song,Andy Gibb,Greg Guidry,Song,Song,Don Henley,Song,Beastie Boys,Poison,Song,Prince,Young Jeezy Featuring Akon,Young Jeezy Featuring Akon,Young Jeezy Featuring Akon,Young Jeezy Featuring Akon,Young Jeezy Featuring Akon,Young Jeezy Featuring Akon,Young Jeezy Featuring Akon,Young Jeezy Featuring Akon,Young Jeezy Featuring Akon,Young Jeezy Featuring Akon,Young Jeezy Featuring Akon,Young Jeezy Featuring Akon,Young Jeezy Featuring Akon,Young Jeezy Featuring Akon,Young Jeezy Featuring Akon,Young Jeezy Featuring Akon,Bow Wow Featuring T-Pain & Johnta Austin,The Game Featuring Lil Wayne,"Drake Featuring Kanye West, Lil Wayne & Eminem",Carrie Underwood,Chris Brown,Jason Aldean,Emeli Sande,KONGOS,Big Sean Featuring Drake,Chris Brown,Adele,XXXTENTACION,Khalid & Normani
88,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Christopher Cross,Song,Song,Night Ranger,Song,Pseudo Echo,White Lion,Song,Mellow Man Ace,The Black Eyed Peas,The Black Eyed Peas,The Black Eyed Peas,The Black Eyed Peas,The Black Eyed Peas,The Black Eyed Peas,The Black Eyed Peas,The Black Eyed Peas,The Black Eyed Peas,The Black Eyed Peas,The Black Eyed Peas,The Black Eyed Peas,The Black Eyed Peas,The Black Eyed Peas,The Black Eyed Peas,The Black Eyed Peas,Taylor Swift,Keyshia Cole,Justin Bieber,Sean Kingston & Justin Bieber,Rodney Atkins,Rihanna,Miranda Lambert,Lil Wayne Featuring Drake,George Ezra,Usher Featuring Young Thug,Miley Cyrus,Maroon 5 Featuring SZA,Marshmello & Kane Brown
89,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Kenny Rogers,Song,Song,Sheena Easton,Song,Ready For The World,Taylor Dayne,Song,Kyper,Eminem,Eminem,Eminem,Eminem,Eminem,Eminem,Eminem,Eminem,Eminem,Eminem,Eminem,Eminem,Eminem,Eminem,Eminem,Eminem,Rihanna,Kanye West Featuring Dwele,Lady Antebellum,Lil Wayne Featuring Drake,Mike Posner,Havana Brown Featuring Pitbull,Thomas Rhett,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",Sia,O.T. Genasis Featuring Young Dolph,Marian Hill,Nicky Jam x J Balvin,Megan Thee Stallion Featuring DaBaby
90,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Madonna,Madonna,Madonna,Madonna,Madonna,Madonna,Madonna,Madonna,Madonna,Madonna,Madonna,Madonna,Madonna,Madonna,Madonna,Madonna,Red Hot Chili Peppers,Lil Wayne Featuring Bobby Valentino & Kidd Kidd,Kelly Clarkson,Miranda Lambert,Miguel,Imagine Dragons,Ace Hood Featuring Future & Rick Ross,Jake Owen,Kelly Clarkson,Kevin Gates,Cheat Codes Featuring Demi Lovato,YoungBoy Never Broke Again,Dan + Shay
91,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Ludacris Featuring Pharrell,Miley Cyrus,John Legend Featuring Andre 3000,The Band Perry,Jessie J Featuring B.o.B,Ca$h Out,Hunter Hayes,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,Ed Sheeran,Fifth Harmony Featuring Fetty Wap,Shawn Mendes,Ella Mai,NLE Choppa
92,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Keyshia Cole,Keyshia Cole,Keyshia Cole,Keyshia Cole,Keyshia Cole,Keyshia Cole,Keyshia Cole,Keyshia Cole,Keyshia Cole,Keyshia Cole,Keyshia Cole,Keyshia Cole,Keyshia Cole,Keyshia Cole,Keyshia Cole,Keyshia Cole,Chris Brown Featuring T-Pain,Trace Adkins,Billy Currington,Paramore,Blake Shelton,Luke Bryan,Lady Antebellum,5 Seconds Of Summer,Ella Henderson,Hailee Steinfeld & Grey Featuring Zedd,Gucci Mane Featuring Migos,Daddy Yankee,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign"
93,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Ne-Yo,Nickelback,Gavin Rossdale,Zac Brown Band,Lady Antebellum,Lil Wayne Featuring Drake,Rihanna,Florida Georgia Line,Zedd Featuring Hayley Williams,Alessia Cara,Coldplay,Dustin Lynch,XXXTENTACION,Florida Georgia Line
94,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,T.I.,T.I.,T.I.,T.I.,T.I.,T.I.,T.I.,T.I.,T.I.,T.I.,T.I.,T.I.,T.I.,T.I.,T.I.,T.I.,Crime Mob Featuring Lil Scrappy,Daughtry,Kelly Clarkson,Sara Bareilles,Thompson Square,Lee Brice,will.i.am Featuring Justin Bieber,Beyonce,Mr. Probz,Tim McGraw,YFN Lucci Featuring PnB Rock,Brett Young,Bazzi Featuring Camila Cabello
95,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,P!nk,P!nk,P!nk,P!nk,P!nk,P!nk,P!nk,P!nk,P!nk,P!nk,P!nk,P!nk,P!nk,P!nk,P!nk,P!nk,Justin Timberlake,Timbaland Featuring Keri Hilson,Kristinia DeBarge,Daughtry,Neon Trees,Kip Moore,Sara Bareilles,ScHoolboy Q Featuring BJ The Chicago Kid,Nicky Jam & Enrique Iglesias,Future,Camila Cabello Featuring Young Thug,Luke Combs,Chase Rice
96,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Gorillaz,Gorillaz,Gorillaz,Gorillaz,Gorillaz,Gorillaz,Gorillaz,Gorillaz,Gorillaz,Gorillaz,Gorillaz,Gorillaz,Gorillaz,Gorillaz,Gorillaz,Gorillaz,Hinder,Saving Abel,Michael Franti & Spearhead Featuring Cherine Anderson,Uncle Kracker,Kenny Chesney Featuring Grace Potter,Miguel,Passenger,Drake,Ne-Yo Featuring Juicy J,Desiigner,Maroon 5 Featuring SZA,Rae Sremmurd & Juicy J,Dan + Shay
97,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,T-Pain,T-Pain,T-Pain,T-Pain,T-Pain,T-Pain,T-Pain,T-Pain,T-Pain,T-Pain,T-Pain,T-Pain,T-Pain,T-Pain,T-Pain,T-Pain,Finger Eleven,Santana Featuring Chad Kroeger,Jim Jones & Ron Browz Featuring Juelz Santana,Cali Swag District,Zac Brown Band,Jason Aldean,Randy Houser,Lee Brice,One Direction,Wiz Khalifa Featuring Charlie Puth,blackbear,Dua Lipa,Ariana Grande & Social House
98,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Taylor Hicks,Taylor Hicks,Taylor Hicks,Taylor Hicks,Taylor Hicks,Taylor Hicks,Taylor Hicks,Taylor Hicks,Taylor Hicks,Taylor Hicks,Taylor Hicks,Taylor Hicks,Taylor Hicks,Taylor Hicks,Taylor Hicks,Taylor Hicks,Snoop Dogg Featuring R. Kelly,Keyshia Cole,Maxwell,Alicia Keys,Big Sean Featuring Chris Brown,Eli Young Band,2 Chainz,Miranda Lambert Duet With Carrie Underwood,Drake,One Direction,XXXTENTACION,J Balvin & Willy William Featuring Beyonce,P!nk
99,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Song,Teddy Geiger,Teddy Geiger,Teddy Geiger,Teddy Geiger,Teddy Geiger,Teddy Geiger,Teddy Geiger,Teddy Geiger,Teddy Geiger,Teddy Geiger,Teddy Geiger,Teddy Geiger,Teddy Geiger,Teddy Geiger,Teddy Geiger,Teddy Geiger,R. Kelly Duet With Usher,2 Pistols Featuring T-Pain & Tay Dizm,The Fray,Jerrod Niemann,Song,Linkin Park,Paramore,Miley Cyrus,Calvin Harris & Disciples,Song,Keith Urban Featuring Carrie Underwood,Imagine Dragons,Juice WRLD
